Year,iPhone,Services,Wearables,Mac,iPad,Total,iPhone_share,Services_share,Wearables_share,Mac_share,iPad_share
2018,165.80,38.47,17.39,25.35,18.59,265.60,62,14,7,10,7
2019,142.38,46.30,24.49,25.74,21.28,260.19,55,18,9,10,8
2020,137.78,53.78,30.62,28.62,23.73,274.53,50,20,11,10,9
2021,191.99,68.43,38.38,35.20,31.87,365.87,53,19,10,10,9
2022,205.50,78.13,41.24,40.18,29.29,394.34,52,20,10,10,7
2023,200.59,85.20,39.84,29.36,28.30,383.29,52,22,10,8,7
2024,201.16,96.17,37.00,29.97,26.69,391.00,51,25,9,8,7
